experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_position,job_scope,company_region,abroad
SE,FT,132000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,81206,GB,0,GB,M,STAFF,ML/AI ENGINEER,Europe,False
EX,FT,330000,US,0,US,M,HEAD,ML/AI ENGINEER,Americas,False
EX,FT,188000,US,0,US,M,HEAD,ML/AI ENGINEER,Americas,False
MI,FT,140000,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
MI,FT,110000,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,190000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,170000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,150000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,125000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
MI,FT,90000,US,100,US,M,STAFF,OTHERS,Americas,False
MI,FT,73000,US,100,US,M,STAFF,OTHERS,Americas,False
MI,FT,150000,US,100,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
MI,FT,135000,US,100,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
MI,FT,70000,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,204500,CA,0,CA,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,142200,CA,0,CA,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,97000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,257000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,197000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,140000,US,100,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,120000,US,100,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,79000,US,0,US,M,STAFF,DATA ANALYST,Americas,False
MI,FT,135344,GB,0,GB,M,STAFF,DATA SCIENTIST,Europe,False
MI,FT,98432,GB,0,GB,M,STAFF,DATA SCIENTIST,Europe,False
EX,FT,246080,GB,0,GB,M,HEAD,OTHERS,Europe,False
EX,FT,184560,GB,0,GB,M,HEAD,OTHERS,Europe,False
MI,FT,33686,EE,0,EE,M,STAFF,DATA ANALYST,Europe,False
SE,FT,340000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,212000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,213600,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,142400,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
MI,FT,125000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,85000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,207900,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,158400,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,303050,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,202350,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,385000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,200000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,241300,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,211949,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,115000,US,100,US,M,MANAGER,OTHERS,Americas,False
SE,FT,90000,US,100,US,M,MANAGER,OTHERS,Americas,False
EN,FT,105000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
EN,FT,70000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,123800,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
