iter	RMSE
0	65055.45198
1	63959.007
2	62981.67364
3	62048.84207
4	61105.2784
5	60349.75188
6	59469.68451
7	58603.65045
8	58121.54304
9	57504.77974
10	56922.71266
11	56460.74415
12	55995.8909
13	55286.38156
14	54795.97035
15	54457.28378
16	54135.90137
17	53642.98752
18	53056.08412
19	52574.79291
20	52208.83898
21	51799.53315
22	51137.27929
23	50801.42391
24	50404.54883
25	49989.40916
26	49622.55733
27	49225.54879
28	48751.0378
29	48485.73196
30	48312.14924
31	48039.63145
32	47718.58618
33	47585.1373
34	47362.41917
35	47067.06475
36	46879.91786
37	46700.47023
38	46472.1603
39	46222.24007
40	46044.36957
41	45780.40653
42	45684.57059
43	45279.44737
44	45031.29511
45	44778.87655
46	44403.58451
47	44051.47758
48	43903.26736
49	43777.07141
50	43542.52066
51	43364.13291
52	43204.47229
53	42988.96493
54	42928.39929
55	42724.46764
56	42532.48378
57	42438.58116
58	42060.40383
59	41728.70619
60	41554.78101
61	41325.32025
62	41280.03777
63	41220.28835
64	41115.54017
65	40884.82151
66	40634.48452
67	40377.74727
68	40224.5482
69	39987.0808
70	39746.35177
71	39495.14415
72	39384.52131
73	39222.87903
74	39098.04666
75	38954.08792
76	38901.37552
77	38848.75169
78	38785.62546
79	38746.82791
80	38679.8461
81	38476.72848
82	38270.73832
83	38122.82074
84	38073.54669
85	38020.08873
86	37935.53303
87	37735.87132
88	37586.91685
89	37575.12498
90	37524.06993
91	37324.09419
92	37199.25526
93	37055.22988
94	36890.36544
95	36779.81171
96	36637.56777
97	36449.36189
98	36343.00287
99	36151.35057
100	36071.17457
101	36038.09079
102	36013.34452
103	35963.18026
104	35846.68241
105	35650.5488
106	35637.80092
107	35527.87272
108	35459.84435
109	35353.94748
110	35194.06104
111	35083.28473
112	34903.76343
113	34804.94332
114	34692.23344
115	34660.67425
116	34526.77364
117	34469.14487
118	34440.87163
119	34338.15192
120	34284.72194
121	34181.83688
122	34073.35743
123	34056.28605
124	33987.82016
125	33913.90419
126	33904.95391
127	33800.43566
128	33662.54996
129	33595.93108
130	33493.15231
131	33389.58391
132	33371.26121
133	33294.72468
134	33210.87257
135	33139.20899
136	33068.09507
137	33011.50545
138	32980.54049
139	32808.5626
140	32675.97283
141	32655.43183
142	32570.02036
143	32470.4963
144	32372.64212
145	32259.33951
146	32130.80775
147	32128.92666
148	32033.22721
149	31949.55714
150	31812.0132
151	31723.49834
152	31662.4278
153	31557.95294
154	31488.35634
155	31460.25201
156	31327.09553
157	31266.10859
158	31175.51939
159	31103.13526
160	31041.28599
161	30909.21899
162	30849.25881
163	30671.32065
164	30588.75491
165	30418.55174
166	30408.49515
167	30329.30463
168	30286.0909
169	30128.56733
170	30019.24954
171	29903.84479
172	29802.13447
173	29755.16348
174	29666.04774
175	29612.75942
176	29545.24271
177	29458.69812
178	29392.76967
179	29347.7469
180	29266.46827
181	29164.66491
182	29095.46488
183	28996.65064
184	28917.11852
185	28855.1086
186	28757.11519
187	28682.77929
